#Frame           COM1       ANGLE1
     979       3.7090       9.9894
     980       3.9838      17.6530
     981       3.9697      16.9639
     982       3.8943      22.4948
     983       3.9865       6.5667
     984       3.7282      11.8547
     985       3.8758      23.2906
     986       3.9599      34.0822
     987       3.8103      14.0873
     988       3.8634      14.0454
     989       4.1943      15.8024
     990       4.0437      34.4131
     991       3.6090      12.2706
     992       3.7404      22.7595
     993       3.8525      11.1102
     994       3.7697      17.9866
     995       4.0083      15.7190
     996       3.8132       7.0785
     997       4.3472      23.0843
     998       4.1236      26.8753
     999       3.6940      14.6712
    1000       3.8664       8.6788
    1001       3.5258      18.0166
    1002       3.6549       6.2391
    1003       3.7623       8.6069
    1004       3.4518       7.9346
    1005       4.0046      28.0876
    1006       3.9562      17.2159
    1007       3.7647       9.1357
    1008       3.6819       8.9212
    1009       3.9794      16.8647
    1010       3.9474      17.7346
    1011       3.6895      21.5043
    1012       3.7691      17.1588
    1013       3.7214      28.2214
    1014       4.0767       6.2105
    1015       3.8378      10.2163
    1016       5.0002      28.1005
    1017       4.3851      16.0956
    1018       4.2553      11.7004
    1019       3.6304      15.7339
    1020       3.7628      14.5164
    1021       4.2190      15.1357
    1022       4.2667       3.6750
    1023       4.6531      11.1744
    1024       3.8471      17.2853
    1025       3.9648      29.8024
    1026       4.1499      21.6283
    1027       4.3393      32.8850
    1028       4.1334      12.8377
    1029       4.0473      31.3041
    1030       3.4939      22.6212
    1031       4.1805      33.8172
    1032       3.8350      34.7282
    1033       4.2541      17.7956
    1034       4.1293      15.2994
    1035       3.4373       5.1785
    1036       3.9709      29.3101
    1037       4.0674      17.9003
    1038       4.0948      21.2364
    1039       4.0862      14.1084
    1040       4.0660      11.9257
    1041       4.1725      10.0537
    1042       4.0769      28.8226
    1043       4.1045      19.5048
    1044       3.8077      11.6395
    1045       4.7151      18.2168
    1046       4.0800      18.3085
    1047       3.9439      10.1567
    1048       4.2214      15.6284
    1049       3.8975       5.3095
    1050       4.3903      15.9036
    1051       3.6422      17.1420
    1052       4.1114      10.3442
    1053       3.7501      20.4589
    1054       3.7304      18.9752
    1055       4.3093       4.8913
    1056       3.9216      25.6006
    1057       3.8563      19.1752
    1058       3.9278      16.0284
    1059       4.0633      27.8700
    1060       3.6918      10.0780
    1061       3.8958       5.6442
    1062       3.9415      22.4170
    1063       3.7342      12.3142
    1064       3.4927       7.0214
    1065       4.3620      16.3017
